"tipo_de_establecimiento_de_salud","denominacion","disposicion","calle","provincia_id","provincia_nombre","vencimiento_del_certificado"
"ESTABLECIMIENTO","GERIATRICO “RENACER”","463/2018","Calle 30 e/ 10 y 11 1192",6,"BUENOS AIRES","27/03/2023"
"ESTABLECIMIENTO","ESTABLECIMIENTO MONOVALENTE CON INTEGRACION Y PRESTACION QUIRURGICA CATEGORIA II","503/2018","23 E/ 10 Y 11 962",6,"BUENOS AIRES","21/02/2023"
"ESTABLECIMIENTO","BIOIMAN S.A.- RESONANCIA NUCLEAR MAGNETICA","575/2014","AV DEL TRABAJo 670",6,"BUENOS AIRES","18/06/2019"
"ASOCIACIÓN","CIRCULO MEDICO 9 DE JULIO","1763/2017","CAVALLARI 672",6,"BUENOS AIRES","19/06/2022"
"ASOCIACIÓN","CIRCULO MEDICO 9 DE JULIO","1056/2017","CAVALLARI 672",6,"BUENOS AIRES","19/06/2022"
"ESTABLECIMIENTO","INSTITUTO DE NEUROCIENCIAS 9 DE JULIO","1200/2017","AV VEDIA  622",6,"BUENOS AIRES","18/07/2022"
"ESTABLECIMIENTO","RESIDENCIA SANTA LUCIA HOGAR GERIATRICO","1552/2016","ALMIRANTE BROWN 1688",6,"BUENOS AIRES","14/12/2021"
"ESTABLECIMIENTO","CENTRO NEFROLOGICO DEL NOROESTE 9 DE JULIO","615/2017","Tucumán  627",6,"BUENOS AIRES","26/04/2022"
"DISCAPACIDAD","CENTRO EDUCATIVO TERAPEUTICO NUESTRO LUGAR VIDKA SRL","64/2014","POLICASTRO 183",6,"BUENOS AIRES","12/02/2019"
"ESTABLECIMIENTO","CENTRO DE TOMOGRAFIA COMPUTADA ADROGUE SA","1658/2013","BYNNON  1433",6,"BUENOS AIRES","14/12/2018"
"ESTABLECIMIENTO","CENTRO EDUCATIVO DEJALO SER","322/2014","MARTIN RODRIGUEZ 769",6,"BUENOS AIRES","24/04/2019"
"ESTABLECIMIENTO","LABORATORIO DE ANALISIS CLINICO DOCTORES RUBEN EDUARDO ROCATTI Y LILIANA GRACIELA TANTARDINI","1802/2017","HIPOLITO YRIGOYEN  12946",6,"BUENOS AIRES","27/10/2022"
"ESTABLECIMIENTO","CLINICA IMA S.A.","409/2014","SEGUI 593",6,"BUENOS AIRES","20/05/2019"
"ESTABLECIMIENTO","CENTRO INTEGRAL DE ORTOPEDIA Y TRAUMATOLOGIA ADROGUE CIOT","1563/2015","GONZALEZ EX CANALE 1457",6,"BUENOS AIRES","17/12/2020"
"ESTABLECIMIENTO","ASOCIACION DE AMIGOS DE LA ANCIANIDAD","430/2016","VERGARA 329",6,"BUENOS AIRES","08/04/2021"
"ASOCIACIÓN","ASOCIACION MEDICA DE SAN VICENTE","724/2014","FLORIDA 270",6,"BUENOS AIRES","17/07/2019"
"DISCAPACIDAD","CENTRO DE ESTIMULACION TEMPRANA CREAR","1485/2017","ITALIA 345",6,"BUENOS AIRES","18/09/2022"
"ESTABLECIMIENTO","CENTRO BIOQUIMICO ARRECIFES","1264/2016","AV. CARLOS MERLASSINO 754",6,"BUENOS AIRES","23/09/2021"
"ASOCIACIÓN","ASOCIACION DE CLINICAS Y SANATORIOS PRIVADOS DE LA PCIA.DE BS.AS. ZONA II","1951/2017","LAVALLE   51",6,"BUENOS AIRES","14/11/2022"
"ESTABLECIMIENTO","CENTRO DE ESTUDIOS PSIQUIATRICOS S.A.","514/2014","SAN MARTIN 1028",6,"BUENOS AIRES","05/06/2019"
"ESTABLECIMIENTO","NEFROLOGIA IMDE SRL","1344/2013","ESPAÑA  840",6,"BUENOS AIRES","16/10/2018"
"ESTABLECIMIENTO","PRESENCIA S.A.","544/2014","AVDA. MITRE 2071",6,"BUENOS AIRES","11/06/2019"
"ESTABLECIMIENTO","COMUNIDAD TERAPEUTICA ASOCIACION REVIVIR","1209/2015","AV. MITRE  2465",6,"BUENOS AIRES","03/10/2020"
"ESTABLECIMIENTO","""SANATORIO PROFESOR ITOIZ""","1127/2017","ALSINA 174",6,"BUENOS AIRES","03/07/2022"
"ESTABLECIMIENTO","ASOCIACION REVIVIR","1518/2013","AV MITRE  2468",6,"BUENOS AIRES","08/11/2018"
"ESTABLECIMIENTO","COMUNIDAD TERAPEUTICA ASOCIACION REVIVIR","1684/2017","AV. MITRE  2465",6,"BUENOS AIRES","17/01/2022"
"ESTABLECIMIENTO","CENTRO DE REHABILITACION CON INTERNACION SERES 2","1514/2015","LAPRIDA  274",6,"BUENOS AIRES","16/12/2020"
"ESTABLECIMIENTO","CENTRO DE ESTUDIOS PSIQUIATRICOS S.A.","1283/2014","SAN MARTIN 1028",6,"BUENOS AIRES","07/11/2019"
"ESTABLECIMIENTO","CLINICA PRIVADA 24 DE SEPTIEMBRE","98/2016","ZEBALLOS 1491",6,"BUENOS AIRES","22/01/2021"
"ESTABLECIMIENTO","CLINICA COMUNIDAD","jul-16","DR. CARLOS CASAZZA 69",6,"BUENOS AIRES","07/01/2021"
"ESTABLECIMIENTO","CARDIOSUR EMERGENCIAS MEDICAS","967/2015","GRAL. LEMOS 7",6,"BUENOS AIRES","03/08/2020"
"ESTABLECIMIENTO","CORDOBA, MARIA MERCEDES","57/2018","Alsina 222",6,"BUENOS AIRES","26/03/2020"
"ESTABLECIMIENTO","RESIDENCIA GERIATRICA D´AQUILA S.A.","898/2016","ENTRE RIOS 778",6,"BUENOS AIRES","12/07/2021"
"ESTABLECIMIENTO","GEDAVE GRUPO ENDOSCOPICO DE AVELLANEDA S.R.L.- GEGAVE CENTRO GASTROENTEROLOGICO DE AVELLANEDA","1512/2018","MITRE 501",6,"BUENOS AIRES","17/07/2023"
"ESTABLECIMIENTO","RED LAB S.A.","267/2015","MONSEÑOR PIAGGIO  198",6,"BUENOS AIRES","16/03/2020"
"ESTABLECIMIENTO","CLINICA DE PSICOPATOLOGIA SAN CAYETANO","1613/2013","25 DE MAYO  531",6,"BUENOS AIRES","26/11/2018"
"ESTABLECIMIENTO","MADRE TERESA S.A.","386/2014","AV MITRE 2450",6,"BUENOS AIRES","12/05/2019"
"ESTABLECIMIENTO","CONSULTORIOS DENTALES IDAN S.R.L.","1660/2013","AV. BELGRANO 457",6,"BUENOS AIRES","04/12/2018"
"RED","ASOCIAICION MUTUAL DE LOS TRABAJADORES DEL CUERO Y AFINES","1930/2017","Giribone 789",6,"BUENOS AIRES","20/11/2020"
"ESTABLECIMIENTO","SANAR SALUD S.R.L.","76/2018","Sarmiento 941",6,"BUENOS AIRES","18/01/2019"
"ASOCIACIÓN","GAMA LABORATORIOS S.R.L.","1238/2016","AV. ALEM 492",6,"BUENOS AIRES","15/09/2021"
"ASOCIACIÓN","CENTRO DE ANALISIS CLINICOS","864/2014","LAVALLE 467",6,"BUENOS AIRES","15/08/2019"
"ASOCIACIÓN","INSTITUTO DE MEDICINA OCUPACIONAL DEL SUR S.A.","1184/2014","19 DE MAYO 136",6,"BUENOS AIRES","04/10/2019"
"ESTABLECIMIENTO","FRESENIUS MEDICAL ARGENTINA S.A.","363/2015","ALTE. BROWN 1115",6,"BUENOS AIRES","07/04/2020"
"ESTABLECIMIENTO","BERARDI GOIN Y CIA S.R.L.","1227/2017","LAVALLE 11",6,"BUENOS AIRES","21/07/2022"
"ESTABLECIMIENTO","HOGAR GERIATRICO SOLAR DE ROSARIO","1196/2016","ROSARIO 1890",6,"BUENOS AIRES","05/09/2021"
"ESTABLECIMIENTO","ASOCIACION HOSPITAL ITALIANO REGIONAL DEL SUR","1589/2015","NECOCHEA  675",6,"BUENOS AIRES","17/12/2020"
"ESTABLECIMIENTO","INSTITUTO DE DIALISIS BAHIA S.R.L.","312/2015","BRANDSEN  587",6,"BUENOS AIRES","19/03/2020"
"ESTABLECIMIENTO","RESIDENCIA PARA LA TERCERA EDAD LA QUERENCIA","1517/2017","RAMON Y CASAL 5343",6,"BUENOS AIRES","21/09/2022"
"ESTABLECIMIENTO","FUNDACION MEDICA DE BAHIA BLANCA","1009/2017","LAS HERAS 164",6,"BUENOS AIRES","13/06/2022"
"ESTABLECIMIENTO","CLINICA PRIVADA BAHIENSE S.A","960/2015","DARREGUEIRA 1127",6,"BUENOS AIRES","13/08/2019"
"ESTABLECIMIENTO","CENTRO RADIOTERAPEUTICO DE EXCELENCIA ONCOLOGICA C.R.E.O.","1202/2017","SOLER 461",6,"BUENOS AIRES","18/07/2022"
"ESTABLECIMIENTO","CLINICA DE OJOS DEL SUD SA","1385/2018","ALSINA  89",6,"BUENOS AIRES","22/05/2023"
"ESTABLECIMIENTO","PEQUEÑAS HERMANAS DE LA SAGRADA FAMILIA PEQUEÑO COTTOLENGO MONSEÑOR JOSE NASCIMBENI","163/2014","HAITI 1930",6,"BUENOS AIRES","18/03/2019"
"ESTABLECIMIENTO","MEGAVISION CENTRO PRIVADO DE OFTALMOLOGIA","568/2015","CASANOVA 248",6,"BUENOS AIRES","19/05/2020"
"ESTABLECIMIENTO","IMPROVE S.A.","1032/2017","AV ALEM  180",6,"BUENOS AIRES","14/06/2022"
"ESTABLECIMIENTO","GERIATRICO DEL CENTRO","455/2014","MORENO 228",6,"BUENOS AIRES","22/05/2019"
"ESTABLECIMIENTO","HOSPITAL DE EVACUACIÓN 181 “HOSPITAL MILITAR BAHÍA BLANCA CIRUJANO DEL EJERCITO DR. MARCELINO VARGAS”","603/2017","Florida s/n",6,"BUENOS AIRES","26/04/2022"
"ESTABLECIMIENTO","INSTITUTO DE REHABILITACION DEL LISIADO I.R.E.L.","583/2017","AVDA. ALEM 1585",6,"BUENOS AIRES","19/04/2022"
"ESTABLECIMIENTO","INSTITUTO RADIOLOGICO PUEYRREDON","885/2015","PUEYRREDON 83",6,"BUENOS AIRES","24/07/2020"
"ESTABLECIMIENTO","HOSPITAL DE LA ASOCIACION MEDICA DE BAHIA BLANCA DR. FELIPE GLASMAN","961/2017","PATRICIOS 347",6,"BUENOS AIRES","06/06/2022"
"ESTABLECIMIENTO","CLINICA DE LA VISION PROPIEDAD DEL SR. NÉSTOR EDUARDO RIVERO","1319/2018","11 DE ABRIL 25",6,"BUENOS AIRES","25/06/2023"
