"establecimiento_id","establecimiento_nombre","provincia_id","provincia_nombre","departamento_id","departamento_nombre","localidad_id","localidad_nombre","origen_financiamiento","categoria_id","categoria_nombre","codigo_postal","domicilio","sitio_web"
"70067072315037","BOTIQUIN FARMACIA","02","Buenos Aires","00110","Saladillo",6707020,"BLAQUIER","Privado",752,"Botiquín",6065,"Buenos Aires S/n","*sin dato*"
"70780282383297","BOTIQUIN DE FARMACIA LA FLORIDA","20","Santa Cruz","00443","Lago Argentino",78028020,"EL CHALTEN","Privado",752,"Botiquín",9015,"AVENIDA SAN MARTIN Nº 13","*sin dato*"
"70221402327097","VILELAS","04","Chaco","00173","San Fernando",22140050,"PUERTO VILELAS","Privado",752,"Botiquín",3503,"SAN MARTIN 1062","*sin dato*"
"70580912367728","BOTIQUIN BUTA RANQUIL","15","Neuquén","00371","Pehuenches",58091020,"BUTA RANQUIL","Privado",752,"Botiquín",3363,"OLASCOAGA S/N° ENTRE GENARO  CARREÑO y AV JOSE JADUL","*sin dato*"
"70220632327096","YARROS","04","Chaco","00164","General Güemes",22063100,"VILLA RIO BERMEJITO","Privado",752,"Botiquín",3703,"PLANTA URBANA SIN NUMERO","*sin dato*"
"70580352367726","BOTIQUIN EL CHOCON","15","Neuquén","00365","Confluencia",58035050,"EL CHOCON","Privado",752,"Botiquín",8309,"CENTRO COMERCIAL LOCAL 1","*sin dato*"
"70221542327087","DE LOS MILAGROS","04","Chaco","00175","Sargento Cabral",22154020,"COLONIA ELISA","Privado",752,"Botiquín",3515,"BELGRANO 261","*sin dato*"
"70221542327091","SAN LORENZO","04","Chaco","00175","Sargento Cabral",22154050,"LAS GARCITAS","Privado",752,"Botiquín",3515,"BROWN S/N","*sin dato*"
"70580142367735","BOTIQUIN AÑELO","15","Neuquén","00361","Añelo",58014010,"AÑELO","Privado",752,"Botiquín",6030,"CALLE 1 S/Nº","*sin dato*"
"70581132367736","BOTIQUIN MARIANO MORENO","15","Neuquén","00374","Zapala",5811302002,"MARIANO MORENO  (MARIANO MORENO)","Privado",752,"Botiquín",8347,"Juan José Valle N° 127","*sin dato*"
"70580842767737","BOTIQUIN TERMAS DE COPAHUE","15","Neuquén","00375","Ñorquín",58084020,"COPAHUE","Privado",752,"Botiquín",8353,"DR. ORTIZ VELEZ S/N°","*sin dato*"
"70221542327088","SANTA CRUZ","04","Chaco","00175","Sargento Cabral",22154010,"CAPITAN SOLARI","Privado",752,"Botiquín",3515,"PLANTA URBANA SIN NUMERO","*sin dato*"
"70221542327089","CENTRO","04","Chaco","00175","Sargento Cabral",22154030,"COLONIAS UNIDAS","Privado",752,"Botiquín",3515,"FONTANA SIN NUMERO","*sin dato*"
"70220142327090","FARMAEXPRES","04","Chaco","00158","Bermejo",22014010,"GENERAL VEDIA","Privado",752,"Botiquín",3522,"CIRCUNSCRIPCION V SECCION B CHACRA 50 MZ H PC 10","*sin dato*"
"70221542327092","ALVEAR","04","Chaco","00175","Sargento Cabral",22154050,"LAS GARCITAS","Privado",752,"Botiquín",3515,"ALVEAR ESQUINA GUEMES","*sin dato*"
"70220632327093","LA PALMERA","04","Chaco","00164","General Güemes",22063030,"EL SAUZALITO","Privado",752,"Botiquín",3705,"PLANTA URBANA S/N","*sin dato*"
"70220142327094","AVENIDA","04","Chaco","00158","Bermejo",22014050,"PUERTO BERMEJO NUEVO","Privado",752,"Botiquín",3524,"AV SAN MARTIN SIN NUMERO","*sin dato*"
"70220632327095","SAN MIGUEL","04","Chaco","00164","General Güemes",22063100,"VILLA RIO BERMEJITO","Privado",752,"Botiquín",3703,"MZ 47 PC 5 SECC A CIRCUNSCRIPCION X","*sin dato*"
"70220842327098","ATHINA","04","Chaco","00167","Libertador General San Martín",22084070,"PRESIDENCIA ROCA","Privado",752,"Botiquín",3511,"AVENIDA SAN MARTIN 435","*sin dato*"
"70220702327099","DEL MILAGRO","04","Chaco","00165","Independencia",22070040,"NAPENAY","Privado",752,"Botiquín",3706,"SOLAR D MZ 27","*sin dato*"
"70220702327100","SAN RAFAEL","04","Chaco","00165","Independencia",22070040,"NAPENAY","Privado",752,"Botiquín",3706,"CALLE 12 ESQUINA 7","*sin dato*"
"70220632327101","LA MISION","04","Chaco","00164","General Güemes",22063080,"NUEVA POMPEYA","Privado",752,"Botiquín",3705,"PLANTA URBANA SIN NUMERO","*sin dato*"
"70580772367727","BOTIQUIN HUINGANCO","15","Neuquén","00370","Minas",58077020,"HUINGANCO","Privado",752,"Botiquín",8353,"LAS ACACIAS S/N°","*sin dato*"
"70580842367729","BOTIQUIN LAHUEN CO","15","Neuquén","00375","Ñorquín",58084010,"CAVIAHUE","Privado",752,"Botiquín",8353,"CASA Nº 5 BARRIO 28 VIVIENDAS","*sin dato*"
"70580772367730","BOTIQUIN LAS OVEJAS","15","Neuquén","00370","Minas",58077030,"LAS OVEJAS","Privado",752,"Botiquín",8353,"Ruta Provincial N° 43","*sin dato*"
"70580842367731","BOTIQUIN PAULI","15","Neuquén","00375","Ñorquín",58084040,"EL HUECU","Privado",752,"Botiquín",8353,"GÜEMES S/Nº","*sin dato*"
"70580842367732","BOTIQUIN SOLEC","15","Neuquén","00375","Ñorquín",58084030,"EL CHOLAR","Privado",752,"Botiquín",8353,"ELEODORO OBREGON S/Nº B° HUENEY CASA N° 1","*sin dato*"
"70580842767733","BOTIQUIN ISSN","15","Neuquén","00375","Ñorquín",58084010,"CAVIAHUE","Privado",752,"Botiquín",8353,"MANZANA 34, LOTE 14, CALLE DEL LAGO S/N","*sin dato*"
"70580072367734","BOTIQUIN FARO AZUL","15","Neuquén","00360","Aluminé",58007020,"VILLA PEHUENIA","Privado",752,"Botiquín",8422,"LOTE 3-MZA 3-CENTRO COMERCIAL","*sin dato*"
"70060212315037","BOTIQUIN FARMACIA (LOCALIDAD MECHITA)","02","Buenos Aires","00006","Alberti",6021030,"MECHITA","Privado",752,"Botiquín",6648,"quintana 1975","*sin dato*"
"70420072353999","BOTIQUIN FARMACIA (LOCALIDAD ROLON)","11","La Pampa","00285","Atreucó",42007040,"ROLON","Privado",752,"Botiquín",6301,"DIEGO MORON 587","*sin dato*"
"70421192354000","BOTIQUIN FARMACIA (LOCALIDAD MIGUEL CANE)","11","La Pampa","00301","Quemú Quemú",42119030,"MIGUEL CANE","Privado",752,"Botiquín",6360,"San Martín s/n entre Av. España y Cornelio Saavedra","*sin dato*"
"70061342315038","BOTIQUIN FARMACIA (SANTA ROSA)","02","Buenos Aires","00027","Cañuelas",6134060,"SANTA ROSA","Privado",752,"Botiquín",8181,"SAN MARTIN 19","*sin dato*"
"70420492354003","BOTIQUIN FARMACIA (LOCALIDAD SANTA ISABEL)","11","La Pampa","00289","Chalileo",42049010,"SANTA ISABEL","Privado",752,"Botiquín",6313,"Ruta Nac 143  127","*sin dato*"
"70420282354005","BOTIQUIN FARMACIA (LOCALIDAD URIBURU)","11","La Pampa","00288","Catriló",42028040,"URIBURU","Privado",752,"Botiquín",6354,"E. Folz S/N","*sin dato*"
"70540772365708","BOTIQUIN FARMACIA (LOCALIDAD GARUHAPE)","14","Misiones","00354","Libertador Grl. San Martín",54077030,"GARUHAPE","Privado",752,"Botiquín",3334,"INDEPENDENCIA S/N","*sin dato*"
"70580352367747","BOTIQUIN FARMACIA (LOCALIDAD VILLA EL CHOCON)","15","Neuquén","00365","Confluencia",58035120,"VILLA EL CHOCON","Privado",752,"Botiquín",8316,"LOCAL 1 CENTRO COMERCIAL S/N","*sin dato*"
"70220632727123","INSSSEP","04","Chaco","00164","General Güemes",22063050,"FUERTE ESPERANZA","Privado",752,"Botiquín",3705,"9 DE JULIO MZ 18 PLA 04 BARRIO 15 VIVIENDAS PLANTA URBANA","*sin dato*"
"70220362727126","INSSSEP","04","Chaco","00152","12 de Octubre",22036040,"MESON DE FIERRO","Privado",752,"Botiquín",3731,"LOTE 21 SECCION XVI","*sin dato*"
"70180282340129","BOTIQUIN FARMACIA (LOCALIDAD TABAY)","07","Corrientes","00221","Concepción",18028030,"TABAY","Privado",752,"Botiquín",3421,"PEDRO RIOS S/N ENTRE PIRAGYNE MYGUEIRO y CONSTITUCION","*sin dato*"
"70700562377801","BOTIQUIN DE LA MERCED","18","San Juan","00421","Jáchal",70056080,"SAN JOSE DE JACHAL","Privado",752,"Botiquín",5460,"CALLE EUGENIO FLORES S/N- VILLA MERCEDES-","*sin dato*"
"70180282340132","BOTIQUIN FARMACIA (LOCALIDAD CONCEPCION)","07","Corrientes","00221","Concepción",18028010,"CONCEPCION","Privado",752,"Botiquín",3423,"SAN MARTIN 590","*sin dato*"
"70181682340133","BOTIQUIN FARMACIA (LOCALIDAD COLONIA GARABI)","07","Corrientes","00241","Santo Tomé",18168010,"JOSE R. GOMEZ","Privado",752,"Botiquín",3342,"INÉS VILLALBA","*sin dato*"
"70066382315038","BOTIQUIN FARMACIA (LOCALIDAD PILAR)","02","Buenos Aires","00098","Pilar",663804008,"PILAR (PILAR)","Privado",752,"Botiquín",1629,"LAS PIEDRAS 2883","*sin dato*"
"70460562355306","BOTIQUIN FARMACIA (LOCALIDAD TAMA)","12","La Rioja","00314","General Angel V. Peñaloza",46056020,"TAMA","Privado",752,"Botiquín",5853,"SAN MARTIN S/N","*sin dato*"
